address,avg_min_between_sent_txn,avg_min_between_received_txn,time_diff_between_first_and_last_mins,unique_received_from_addresses,min_val_received,max_val_received,min_val_sent,avg_val_sent,total_transactions_inc_cnts,total_ether_received,total_ether_balance,flag
0,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,844.26,1093.71,704785.63,40,0.0,45.806785,0.0,1.200681,810,586.4666748,-279.2244185,0
1,0x0002b44ddb1476db43c868bd494422ee4c136fed,12709.07,2958.44,1218216.73,5,0.0,2.613269,0.0,0.032844,102,3.085478209,-0.001818811,0
2,0x0002bda54cb772d040f779e88eb453cac0daa244,246194.54,2434.02,516729.3,10,0.113119,1.165453,0.05,1.7943080000000002,12,3.58905665,0.000441,0
3,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,10219.6,15785.09,397555.9,7,0.0,500.0,0.0,70.001834,34,895.399559,-854.6463028999998,0
4,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,36.61,10707.77,382472.42,7,0.0,12.802411,0.0,0.022688,4619,53.4218965,-50.89698629,0
5,0x000895ad78f4403ecd9468900e68d6ee506136fd,9900.12,375.48,20926.68,2,0.7241479999999999,4.813776,4.1668,4.851858,5,9.70472386,0.001008,0
6,0x000d63fc5df52b0204374c2f5a3249779805d5d1,69.46,629.44,8660.35,9,0.049,2.65,0.009457,0.482496,36,12.079266,0.016871896,0
7,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,1497.39,176.84,319828.05,3,0.11849,2.0,0.0,0.040861,218,4.45548974,-4.2479024160000005,0
8,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,0.0,0.0,496.62,1,2.0,2.0,1.99938,1.99938,2,2.0,0.00062,0
9,0x0012f247c9f980eea0a9ad06893bfd95c3145794,2570.59,3336.01,30572.7,2,0.1,40.0,0.1,18.634625,11,50.1,-98.977,0
10,0x0013e58a315d2e728f11630aa40abfbdddcab304,32.45,12921.57,129540.15,2,1.000052,1.014875,0.999088,1.004055,20,10.04819041,0.007636018,0
11,0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,3716.41,1448.09,385961.98,4,0.118061,81.38600000000002,0.01,103.974875,254,831.8030477000002,0.004047714,0
12,0x001b28141562bc2601694d27c3f5fda2c06c234c,0.0,12431.27,198900.25,4,0.0,1.002069,0.0,0.0,17,12.30665958,12.30665958,0
